Time Interval	Source	Target	Weight
200510	westernblockparty.com	nationalpost	291
200510	westernblockparty.com	globeandmail	264
200510	partimarijuana.org	radio-canada	8
200510	westernblockparty.com	radio-canada	186
200510	partivert.ca	radio-canada	2
200510	greenparty.ca	globeandmail	15
200510	blocquebecois.org	cbc	7
200510	partimarijuana.org	cbc	8
200510	westernblockparty.com	cbc	725
200510	www.cbc.ca	cbc	27
200510	www.cbc.ca	radio-canada	2
200510	greenparty.ca	macleans	15
200510	blocquebecois.org	radio-canada	21
200510	wegovern.ca	globeandmail	7
200511	blocquebecois.org	cbc	3
200511	westernblockparty.com	globeandmail	84
200511	partimarijuana.org	cbc	3
200511	westernblockparty.com	radio-canada	72
200511	partivert.ca	radio-canada	3
200511	blocquebecois.org	radio-canada	9
200511	westernblockparty.com	nationalpost	112
200511	www.cbc.ca	cbc	3
200511	greenparty.ca	globeandmail	6
200511	wegovern.ca	globeandmail	3
200511	greenparty.ca	macleans	6
200511	partimarijuana.org	radio-canada	3
200511	westernblockparty.com	cbc	263
200602	wegovern.ca	globeandmail	1
200602	greenparty.ca	macleans	2
200602	blocquebecois.org	radio-canada	3
200602	www.ndp.ca	globeandmail	3
200602	westernblockparty.com	radio-canada	23
200602	www.cbc.ca	cbc	1
200602	blocquebecois.org	cbc	1
200602	westernblockparty.com	torontosun	8
200602	westernblockparty.com	nationalpost	36
200602	www.ndp.ca	cbc	4
200602	greenparty.ca	nationalpost	2
200602	greenparty.ca	globeandmail	14
200602	greenparty.ca	cbc	14
200602	www.libertarian.ca	globeandmail	2
200602	partimarijuana.org	cbc	1
200602	partimarijuana.org	radio-canada	1
200602	www.globeandmail.com	globeandmail	2
200602	www.libertarian.ca	cbc	2
200602	westernblockparty.com	cbc	88
200602	www.ndp.ca	macleans	2
200602	westernblockparty.com	globeandmail	28
200603	www.davidsuzuki.org	globeandmail	1
200603	greenparty.ca	globeandmail	14
200603	westernblockparty.com	radio-canada	23
200603	www.canadianlandmine.org	cbc	6
200603	www.greenparty.ca	cbc	2
200603	www.ndp.ca	cbc	5
200603	www.canadiancrc.com	cbc	5
200603	www.ccsd.ca	globeandmail	3
200603	westernblockparty.com	globeandmail	28
200603	www.canadafirst.net	cbc	11
200603	westernblockparty.com	torontosun	8
200603	www.canadiancrc.com	globeandmail	16
200603	www.fairvotecanada.org	radio-canada	2
200603	www.davidsuzuki.org	cbc	17
200603	westernblockparty.com	nationalpost	36
200603	www.canadafirst.net	globeandmail	10
200603	www.web.net	cbc	2
200603	blocquebecois.org	radio-canada	3
200603	www.nosharia.com	cbc	2
200603	cbc.ca	cbc	7
200603	www.globeandmail.com	globeandmail	3
200603	partimarijuana.org	radio-canada	1
200603	www.westcan.org	nationalpost	2
200603	www.nosharia.com	nationalpost	1
200603	www.canadafirst.net	nationalpost	2
200603	www.fairvotecanada.org	globeandmail	42
200603	www.globeandmail.ca	globeandmail	2
200603	www.ccsd.ca	nationalpost	2
200603	www.davidsuzuki.org	nationalpost	2
200603	www.canadians.org	cbc	125
200603	greenparty.ca	cbc	22
200603	www.nosharia.com	radio-canada	1
200603	www.tv.cbc.ca	cbc	5
200603	www.libertarian.ca	globeandmail	2
200603	www.ppforum.com	cbc	6
200603	www.canadiancrc.com	nationalpost	33
200603	www.libertarian.ca	cbc	2
200603	www.cbc.ca	radio-canada	2
200603	www.canadiancrc.com	macleans	2
200603	www.gca.ca	macleans	4
200603	www.nosharia.com	globeandmail	6
200603	www.equalvoice.ca	globeandmail	2
200603	greenparty.ca	macleans	2
200603	www.cbc.ca	cbc	25
200603	www.nosharia.com	macleans	2
200603	www.ppforum.com	radio-canada	1
200603	www.egale.ca	cbc	22
200603	partimarijuana.org	cbc	1
200603	westernblockparty.com	cbc	88
200603	www.egale.ca	globeandmail	6
200603	www.canoe.ca	torontosun	3
200603	www.ccsd.ca	torontostar	4
200603	www.gca.ca	globeandmail	6
200603	www.canadians.org	globeandmail	75
200603	www.fairvotecanada.org	cbc	16
200603	www.ccsd.ca	cbc	11
200603	www.afn.ca	cbc	12
200603	www.canadianfreespeech.com	cbc	2
200603	www.gca.ca	cbc	4
200603	www.theglobeandmail.com	globeandmail	91
200603	blocquebecois.org	cbc	1
200603	greenparty.ca	nationalpost	2
200603	wegovern.ca	globeandmail	1
200603	www.ppforum.com	globeandmail	1
200603	www.ndp.ca	globeandmail	3
200603	www.fairvotecanada.org	nationalpost	4
200604	www.fairvotecanada.org	globeandmail	42
200604	greenparty.ca	macleans	2
200604	www.gca.ca	macleans	4
200604	www.canadafirst.net	globeandmail	10
200604	greenparty.ca	globeandmail	14
200604	www.egale.ca	globeandmail	6
200604	blocquebecois.org	cbc	1
200604	www.ccsd.ca	torontostar	4
200604	www.globeandmail.com	globeandmail	3
200604	westernblockparty.com	cbc	88
200604	www.theglobeandmail.com	globeandmail	92
200604	www.gca.ca	globeandmail	8
200604	www.canadians.org	globeandmail	100
200604	www.canadafirst.net	cbc	11
200604	www.tv.cbc.ca	cbc	5
200604	www.ppforum.com	globeandmail	1
200604	www.afn.ca	cbc	12
200604	www.ndp.ca	cbc	4
200604	www.fairvotecanada.org	radio-canada	2
200604	www.ccsd.ca	globeandmail	3
200604	www.web.net	cbc	2
200604	cbc.ca	cbc	7
200604	www.nosharia.com	cbc	2
200604	www.egale.ca	cbc	22
200604	www.ccsd.ca	nationalpost	2
200604	www.cbc.ca	radio-canada	2
200604	www.canadiancrc.com	cbc	5
200604	www.libertarian.ca	cbc	2
200604	www.globeandmail.ca	globeandmail	2
200604	www.nosharia.com	nationalpost	1
200604	www.lindenschool.ca	macleans	1
200604	canadianactionparty.ca	macleans	1
200604	www.equalvoice.ca	globeandmail	2
200604	www.ppforum.com	radio-canada	1
200604	partimarijuana.org	radio-canada	1
200604	www.nosharia.com	macleans	2
200604	www.ccsd.ca	cbc	11
200604	partimarijuana.org	cbc	1
200604	www.davidsuzuki.org	globeandmail	1
200604	wegovern.ca	globeandmail	1
200604	westernblockparty.com	radio-canada	23
200604	www.canadafirst.net	nationalpost	2
200604	www.canadianlandmine.org	cbc	6
200604	www.nosharia.com	radio-canada	1
200604	www.libertarian.ca	globeandmail	2
200604	www.nosharia.com	globeandmail	6
200604	www.canadiancrc.com	nationalpost	33
200604	westernblockparty.com	nationalpost	36
200604	westernblockparty.com	globeandmail	28
200604	www.canadianfreespeech.com	cbc	2
200604	www.davidsuzuki.org	nationalpost	2
200604	www.davidsuzuki.org	cbc	17
200604	www.canadians.org	cbc	122
200604	www.canadiancrc.com	macleans	2
200604	www.cbc.ca	cbc	26
200604	www.ppforum.com	cbc	6
200604	www.fairvotecanada.org	nationalpost	4
200604	www.canoe.ca	torontosun	3
200604	greenparty.ca	cbc	14
200604	www.ndp.ca	globeandmail	3
200604	westernblockparty.com	torontosun	8
200604	greenparty.ca	nationalpost	2
200604	www.canadiancrc.com	globeandmail	19
200604	www.gca.ca	cbc	4
200604	www.fairvotecanada.org	cbc	16
200604	blocquebecois.org	radio-canada	1
200604	www.westcan.org	nationalpost	2
200605	www.nosharia.com	globeandmail	6
200605	www.nosharia.com	macleans	2
200605	www.canadafirst.net	nationalpost	2
200605	greenparty.ca	nationalpost	2
200605	www.ppforum.com	cbc	4
200605	www.gca.ca	cbc	4
200605	www.globeandmail.com	globeandmail	3
200605	www.davidsuzuki.org	cbc	17
200605	www.canadafirst.net	cbc	12
200605	www.canadianfreespeech.com	cbc	2
200605	www.westcan.org	nationalpost	2
200605	www.ndp.ca	globeandmail	3
200605	www.canadians.org	cbc	100
200605	www.nosharia.com	radio-canada	1
200605	canadianactionparty.ca	macleans	1
200605	www.canadiancrc.com	macleans	2
200605	westernblockparty.com	nationalpost	33
200605	www.davidsuzuki.org	globeandmail	1
200605	greenparty.ca	globeandmail	14
200605	www.canadiancrc.com	cbc	5
200605	westernblockparty.com	cbc	88
200605	partimarijuana.org	cbc	1
200605	www.egale.ca	globeandmail	6
200605	westernblockparty.com	torontosun	8
200605	www.globeandmail.ca	globeandmail	2
200605	www.ccsd.ca	cbc	11
200605	www.cbc.ca	cbc	25
200605	www.canadiancrc.com	globeandmail	19
200605	wegovern.ca	globeandmail	1
200605	www.canadianlandmine.org	cbc	6
200605	www.gca.ca	macleans	4
200605	westernblockparty.com	globeandmail	28
200605	www.web.net	cbc	2
200605	www.theglobeandmail.com	globeandmail	96
200605	www.cbc.ca	radio-canada	2
