Time Interval	Source	Target	Weight
200510	cpcml.ca	ndp	24
200510	greenparty.ca	ndp	16
200510	liberal.ca	liberal	1341
200510	greenparty.ca	liberal	16
200510	secure.conservative.ca	conservative	702
200510	ndp.ca	ndp	12
200510	www.conservative.ca	conservative	1633082
200510	chp.ca	conservative	7
200510	westernblockparty.com	liberal	56
200510	canadianactionparty.ca	ndp	210
200510	home.ican.net	ndp	792
200510	blocquebecois.org	ndp	8
200510	www.conservative.ca	conservateur	411
200510	cnet.conservative.ca	conservative	21
200510	home.ican.net	npd	36
200510	www.ndp.ca	ndp	216
200510	www.ndp.ca	npd	6
200511	chp.ca	conservative	3
200511	ndp.ca	ndp	6
200511	secure.conservative.ca	conservative	414
200511	www.conservative.ca	conservative	672064
200511	cpcml.ca	ndp	9
200511	www.ndp.ca	ndp	111
200511	www.ndp.ca	npd	3
200511	westernblockparty.com	liberal	21
200511	greenparty.ca	liberal	6
200511	www.conservative.ca	conservateur	180
200511	liberal.ca	liberal	1799
200511	cnet.conservative.ca	conservative	6
200511	canadianactionparty.ca	ndp	156
200511	greenparty.ca	ndp	6
200511	blocquebecois.org	ndp	3
200602	chp.ca	conservative	1
200602	www.energiepcc.ca	conservative	1
200602	www.cpcenergy.ca	conservative	1
200602	www.youth.ndp.ca	ndp	27
200602	westernblockparty.com	liberal	7
200602	www.ndp.ca	npd	3313
200602	blocquebecois.org	ndp	1
200602	www.youth.ndp.ca	npd	1
200602	canadianactionparty.ca	ndp	2
200602	cpcml.ca	ndp	3
200602	greenparty.ca	liberal	1
200602	liberal.ca	liberal	484
200602	ndp.ca	ndp	14
200602	donate.ndp.ca	ndp	33
200602	partimarijuana.org	liberal	1
200602	www.conservative.ca	conservateur	48
200602	westernblockparty.com	conservative	56
200602	secure.conservative.ca	conservative	77
200602	greenparty.ca	conservative	1
200602	greenparty.ca	ndp	1
200602	www.ndp.ca	ndp	4684320
200602	www.conservative.ca	conservative	52120
200602	donate.ndp.ca	npd	2
200602	www.ndp.ca	liberal	47443
200603	www.ppforum.com	ndp	1
200603	www.cpcenergy.ca	conservative	2
200603	liberal.ca	liberal	450
200603	www.youth.ndp.ca	ndp	28
200603	www.fairvotecanada.org	liberal	2
200603	www.davidsuzuki.org	ndp	4
200603	www.ndp.ca	liberal	14150
200603	www.fairvotecanada.org	ndp	10
200603	www.conservative.ca	conservateur	56
200603	coat.ncf.ca	ndp	3
200603	ndp.ca	ndp	5
200603	www.canadians.org	conservateur	5
200603	www.canadianfreespeech.com	ndp	2
200603	greenparty.ca	liberal	1
200603	www.policyalternatives.ca	ndp	170
200603	www.afn.ca	conservative	2
200603	www.mnq.qc.ca	ndp	1
200603	www.ndp.ca	ndp	5194532
200603	www.gca.ca	liberal	2
200603	www.canadians.org	ndp	41
200603	westernblockparty.com	conservative	54
200603	www.youth.ndp.ca	npd	1
200603	canadianactionparty.ca	ndp	2
200603	greenparty.ca	ndp	1
200603	www.afn.ca	ndp	2
200603	www.conservative.ca	conservative	69942
200603	partimarijuana.org	liberal	1
200603	www.libertarian.ca	liberal	1
200603	www.ndp.ca	npd	5661
200603	www.canadians.org	liberal	62
200603	secure.conservative.ca	conservative	97
200603	www.davidsuzuki.org	liberal	4
200603	cpcml.ca	ndp	3
200603	www.equalvoice.ca	liberal	15
200603	www.nosharia.com	liberal	15
200603	www.nosharia.com	ndp	4
200603	coat.ncf.ca	liberal	1
200603	www.davidsuzuki.org	conservative	3
200603	www.canadians.org	conservative	57
200603	www.canadians.org	npd	21
200603	www.ccsd.ca	liberal	1
200603	www.gca.ca	ndp	2
200603	www.equalvoice.ca	ndp	91
200603	blocquebecois.org	ndp	1
200603	gca.ca	ndp	4
200603	www.canadianfreespeech.com	liberal	1
200603	chp.ca	conservative	1
200603	www.canadafirst.net	liberal	1
200603	donate.ndp.ca	ndp	41
200603	www.ccsd.ca	ndp	4
200603	coat.ncf.ca	conservative	1
200603	donate.ndp.ca	npd	2
200603	www.equalvoice.ca	conservative	19
200603	www.afn.ca	liberal	2
200603	greenparty.ca	conservative	1
200603	westernblockparty.com	liberal	7
200604	www.canadafirst.net	ndp	1
200604	www.ndp.ca	ndp	5072370
200604	www.conservative.ca	conservative	74588
200604	partimarijuana.org	liberal	1
200604	www.equalvoice.ca	conservative	19
200604	greenparty.ca	liberal	1
200604	canadianactionparty.ca	ndp	2
200604	www.youth.ndp.ca	ndp	29
200604	www.energiepcc.ca	conservative	1
200604	www.davidsuzuki.org	liberal	4
200604	www.ccsd.ca	ndp	4
200604	westernblockparty.com	conservative	54
200604	coat.ncf.ca	ndp	3
200604	www.nosharia.com	ndp	4
200604	blocquebecois.org	ndp	1
200604	www.ndp.ca	liberal	7816
200604	www.libertarian.ca	liberal	1
200604	gca.ca	ndp	4
200604	donate.ndp.ca	npd	2
200604	www.ppforum.com	ndp	1
200604	www.cpcenergy.ca	conservative	1
200604	www.fairvotecanada.org	liberal	2
200604	greenparty.ca	ndp	1
200604	coat.ncf.ca	liberal	1
200604	www.mnq.qc.ca	ndp	1
200604	www.canadians.org	liberal	61
200604	www.gca.ca	liberal	2
200604	donate.ndp.ca	ndp	41
200604	www.davidsuzuki.org	conservative	3
200604	www.canadafirst.net	liberal	1
200604	www.afn.ca	conservative	2
200604	liberal.ca	liberal	54
200604	coat.ncf.ca	conservative	1
200604	www.canadians.org	ndp	38
200604	www.davidsuzuki.org	ndp	4
200604	www.canadianfreespeech.com	ndp	2
200604	www.canadians.org	npd	23
200604	cpcml.ca	ndp	3
200604	www.gca.ca	ndp	2
200604	secure.conservative.ca	conservative	95
200604	www.equalvoice.ca	liberal	15
200604	www.nosharia.com	liberal	15
200604	greenparty.ca	conservative	1
200604	www.conservative.ca	conservateur	49
200604	chp.ca	conservative	1
200604	www.canadianfreespeech.com	liberal	1
200604	ndp.ca	ndp	5
200604	westernblockparty.com	liberal	7
200604	www.youth.ndp.ca	npd	1
200604	www.canadians.org	conservative	57
200604	www.canadians.org	conservateur	4
200604	www.afn.ca	ndp	2
200604	www.equalvoice.ca	ndp	91
200604	www.ndp.ca	npd	4529
200604	www.ccsd.ca	liberal	1
200604	www.afn.ca	liberal	2
200604	www.fairvotecanada.org	ndp	10
200604	www.policyalternatives.ca	ndp	167
200605	www.nosharia.com	liberal	15
200605	www.gca.ca	liberal	2
200605	ndp.ca	ndp	5
200605	westernblockparty.com	liberal	7
200605	www.youth.ndp.ca	ndp	29
200605	secure.conservative.ca	conservative	96
200605	www.afn.ca	ndp	2
200605	canadianactionparty.ca	ndp	2
200605	www.canadianfreespeech.com	ndp	2
200605	www.energiepcc.ca	conservative	1
200605	www.ccsd.ca	liberal	1
200605	www.mnq.qc.ca	ndp	1
200605	www.canadians.org	npd	19
200605	www.conservative.ca	conservative	90286
200605	www.canadians.org	conservative	44
200605	www.youth.ndp.ca	npd	1
200605	www.davidsuzuki.org	ndp	4
200605	www.canadians.org	liberal	46
200605	www.cpcenergy.ca	conservative	1
200605	www.davidsuzuki.org	liberal	4
200605	www.ndp.ca	npd	2171
200605	www.libertarian.ca	liberal	1
200605	greenparty.ca	liberal	1
200605	www.ndp.ca	liberal	41
200605	greenparty.ca	conservative	1
200605	www.gca.ca	ndp	2
200605	www.ccsd.ca	ndp	4
200605	www.canadafirst.net	liberal	1
200605	www.afn.ca	conservative	2
200605	www.equalvoice.ca	ndp	91
200605	partimarijuana.org	liberal	1
200605	www.policyalternatives.ca	ndp	142
200605	donate.ndp.ca	ndp	41
200605	www.nosharia.com	ndp	4
200605	liberal.ca	liberal	494
200605	www.conservative.ca	conservateur	49
200605	www.ndp.ca	ndp	79522
200605	coat.ncf.ca	conservative	1
200605	www.canadians.org	ndp	27
200605	gca.ca	ndp	2
200605	donate.ndp.ca	npd	2
200605	www.canadianfreespeech.com	liberal	1
200605	westernblockparty.com	conservative	54
200605	www.canadians.org	conservateur	2
200605	www.canadafirst.net	ndp	2
200605	coat.ncf.ca	ndp	3
200605	chp.ca	conservative	1
200605	cpcml.ca	ndp	3
200605	www.equalvoice.ca	liberal	15
200605	www.equalvoice.ca	conservative	19
200605	www.afn.ca	liberal	2
200605	coat.ncf.ca	liberal	2
200605	greenparty.ca	ndp	1
200605	www.davidsuzuki.org	conservative	3
200606	www.conservative.ca	conservateur	78
200606	www.gca.ca	liberal	2
200606	donate.ndp.ca	npd	2
200606	www.afn.ca	ndp	2
200606	www.ccsd.ca	liberal	1
200606	greenparty.ca	liberal	1
200606	www.libertarian.ca	liberal	1
200606	chp.ca	conservative	1
200606	www.nosharia.com	liberal	15
200606	www.ndp.ca	liberal	45
200606	ndp.ca	ndp	5
200606	www.youth.ndp.ca	npd	1
200606	www.ndp.ca	ndp	82537
200606	www.energiepcc.ca	conservative	1
200606	www.canadians.org	liberal	51
