Time Interval	Source	Target	Weight
200607	www.canadians.org	youtube	40
200607	canadianactionparty.ca	youtube	1
200608	canadianactionparty.ca	youtube	1
200608	www.canadians.org	youtube	29
200609	canadianactionparty.ca	youtube	1
200610	canadianactionparty.ca	youtube	1
200611	canadianactionparty.ca	youtube	1
200612	www.canadians.org	youtube	4
200701	www.ndp.ca	youtube	8
200701	www.canadians.org	youtube	7
200701	www.acp-cpa.ca	youtube	6
200702	www.ndp.ca	youtube	14
200702	www.equalvoice.ca	youtube	2
200702	www.acp-cpa.ca	youtube	10
200702	www.davidsuzuki.org	youtube	14
200702	www.canadians.org	youtube	8
200702	www.gca.ca	youtube	2
200703	www.equalvoice.ca	youtube	2
200703	www.gca.ca	youtube	2
200703	www.ndp.ca	youtube	22
200703	www.acp-cpa.ca	youtube	10
200703	www.davidsuzuki.org	youtube	32
200703	www.canadians.org	youtube	8
200704	www.canadians.org	youtube	8
200704	www.ndp.ca	youtube	21
200704	www.acp-cpa.ca	youtube	11
200704	www.liberal.ca	facebook	2
200704	www.gca.ca	youtube	4
200704	www.equalvoice.ca	youtube	2
200704	www.equalvoice.ca	facebook	3
200704	www.davidsuzuki.org	youtube	36
200704	greenparty.ca	youtube	36
200704	greenparty.ca	facebook	11
200705	www.greenparty.pe.ca	youtube	1
200705	www.gca.ca	youtube	4
200705	www.equalvoice.ca	facebook	3
200705	greenparty.ca	facebook	17
200705	www.ndp.ca	facebook	9
200705	www.afn.ca	youtube	1
200705	www.equalvoice.ca	youtube	2
200705	www.acp-cpa.ca	youtube	8
200705	www.canadians.org	youtube	13
200705	www.davidsuzuki.org	youtube	34
200705	www.liberal.ca	facebook	10
200705	greenparty.ca	youtube	101
200705	www.ndp.ca	youtube	71
200706	www.canadians.org	youtube	17
200706	www.ndp.ca	facebook	9
200706	www.ndp.ca	youtube	71
200706	www.afn.ca	youtube	5
200706	www.liberal.ca	facebook	10
200706	greenparty.ca	youtube	126
200706	www.gca.ca	youtube	6
200706	www.equalvoice.ca	facebook	3
200706	www.davidsuzuki.org	youtube	42
200706	www.libertarian.ca	youtube	6
200706	www.equalvoice.ca	youtube	2
200706	www.acp-cpa.ca	youtube	7
200706	greenparty.ca	facebook	21
200707	www.canadians.org	youtube	15
200707	www.afn.ca	youtube	4
200707	www.liberal.ca	facebook	3
200707	www.acp-cpa.ca	youtube	7
200707	www.canadians.org	facebook	57
200707	www.ndp.ca	facebook	1
200707	www.davidsuzuki.org	youtube	1
200707	www.ndp.ca	youtube	7
200708	www.liberal.ca	facebook	10
200708	www.afn.ca	youtube	7
200708	www.davidsuzuki.org	youtube	50
200708	www.canadianfreespeech.com	youtube	8
200708	www.gca.ca	youtube	8
200708	www.notaleader.ca	facebook	2
200708	www.canadians.org	youtube	20
200708	www.ndp.ca	youtube	71
200708	www.equalvoice.ca	facebook	2
200708	www.acp-cpa.ca	youtube	7
200708	www.pasunleader.ca	facebook	2
200708	www.libertarian.ca	youtube	6
200708	www.canadians.org	facebook	1175
200708	www.davidsuzuki.org	facebook	8
200708	www.ndp.ca	facebook	9
200708	greenparty.ca	youtube	160
200708	www.nosharia.com	youtube	11
200708	greenparty.ca	facebook	74
200709	www.equalvoice.ca	facebook	2
200709	www.acp-cpa.ca	youtube	7
200709	greenparty.ca	youtube	183
200709	www.canadianfreespeech.com	youtube	8
200709	www.notaleader.ca	facebook	2
200709	www.liberal.ca	facebook	10
200709	greenparty.ca	facebook	68
200709	www.ndp.ca	youtube	71
200709	www.afn.ca	youtube	7
200709	www.pasunleader.ca	facebook	2
200709	www.policyalternatives.ca	youtube	74
200709	www.policyalternatives.ca	facebook	70717
200709	cpcml.ca	facebook	1
200709	www.libertarian.ca	youtube	6
200709	www.canadians.org	youtube	56
200709	www.ndp.ca	facebook	9
200709	www.gca.ca	youtube	8
200709	www.davidsuzuki.org	facebook	8
200709	www.pm.gc.ca	facebook	1
200709	www.nosharia.com	youtube	11
200709	www.canadians.org	facebook	1199
200709	www.davidsuzuki.org	youtube	52
200710	www.policyalternatives.ca	youtube	118
200710	www.davidsuzuki.org	youtube	52
200710	www.libertarian.ca	youtube	6
200710	www.ndp.ca	facebook	4
200710	canadians.org	facebook	1
200710	www.afn.ca	youtube	7
200710	www.liberal.ca	facebook	10
200710	www.canadians.org	facebook	1299
200710	www.nosharia.com	youtube	11
200710	www.acp-cpa.ca	youtube	7
200710	www.ndp.ca	youtube	31
200710	www.canadianfreespeech.com	youtube	9
200710	www.equalvoice.ca	facebook	2
200710	greenparty.ca	facebook	67
200710	cpcml.ca	facebook	1
200710	www.canadians.org	youtube	48
