TimeInterval	Source	Target	Weight
200510	wegovern.ca	policyalternatives	14
200510	wegovern.ca	cwf	7
200510	greenparty.ca	fcpp	90
200510	www.fcpp.org	fcpp	24
200510	partimarijuana.org	fraserinstitute	15
200511	partimarijuana.org	fraserinstitute	6
200511	wegovern.ca	cwf	3
200511	www.fcpp.org	fcpp	9
200511	greenparty.ca	fcpp	54
200511	www.conservative.ca	fraserinstitute	85
200511	wegovern.ca	policyalternatives	6
200602	www.libertarian.ca	fraserinstitute	2
200602	wegovern.ca	policyalternatives	2
200602	canadianactionparty.ca	policyalternatives	1
200602	partimarijuana.org	fraserinstitute	2
200602	www.fraserinstitute.ca	fraserinstitute	3
200602	greenparty.ca	iedm	2
200602	greenparty.ca	fcpp	4
200602	wegovern.ca	cwf	1
200602	www.iedm.org	iedm	2
200603	www.canadafirst.net	iog	7
200603	www.ccsd.ca	economics	1
200603	www.ccsd.ca	cprn	5
200603	canadianactionparty.ca	policyalternatives	1
200603	www.ppforum.com	ppforum	1889
200603	wegovern.ca	policyalternatives	2
200603	www.policyalternatives.ca	policyalternatives	5651537
200603	ppforum.ca	ppforum	1
200603	www.fairvotecanada.org	fraserinstitute	6
200603	www.ppforum.com	cwf	2
200603	www.policyalternatives.ca	iog	114
200603	www.gov.sk.ca	ppforum	1
200603	www.web.net	ligi	1
200603	www.afn.ca	aims	1
200603	www.canadiancrc.com	ligi	14
200603	www.ppforum.ca	ppforum	1
200603	www.canadafirst.net	ciar	1
200603	www.gca.ca	ligi	2
200603	www.ccsd.ca	csls	2
200603	greenparty.ca	fcpp	4
200603	www.fraserinstitute.ca	fraserinstitute	3
200603	www.davidsuzuki.org	economics	2
200603	www.ccsd.ca	ceci	1
200603	partimarijuana.org	fraserinstitute	2
200603	www.fairvotecanada.org	cwf	2
200603	coat.ncf.ca	iog	6
200603	www.policyalternatives.org	policyalternatives	26
200603	coat.ncf.ca	ligi	3
200603	www.davidsuzuki.org	policyalternatives	2
200603	www.ppforum.com	ipac	2
200603	www.canadians.org	policyalternatives	410
200603	www.ppforum.com	iog	2
200603	www.gca.ca	caledoninst	2
200603	www.gca.ca	economics	6
200603	www.policyalternatives.ca	economics	5
200603	www.ccsd.ca	caledoninst	4
200603	www.fairvotecanada.org	irpp	18
200603	www.nosharia.com	ligi	1
200603	www.afn.ca	ciar	2
200603	wegovern.ca	cwf	1
200603	www.ccsd.ca	pearson-shoyama	2
200603	www.canadiancrc.com	iog	3
200603	www.ccsd.ca	policyalternatives	1
200603	www.gca.ca	gpiatlantic	6
200603	www.ppforum.com	clbc	2
200603	www.ccsd.ca	iog	1
200603	www.davidsuzuki.org	ciar	5
200603	www.libertarian.ca	fraserinstitute	2
200603	www.ccsd.ca	gpiatlantic	1
200603	www.ccsd.ca	cdhowe	1
200603	www.acp-cpa.ca	ligi	1
200603	www.gca.ca	ciar	2
200603	www.ccsd.ca	conferenceboard	1
200603	www.canadiancrc.com	ceci	1
200604	www.policyalternatives.org	policyalternatives	26
200604	www.policyalternatives.ca	policyalternatives	5648090
200604	greenparty.ca	fcpp	4
200604	coat.ncf.ca	iog	6
200604	www.fairvotecanada.org	fraserinstitute	6
200604	www.ppforum.com	ipac	2
200604	www.ccsd.ca	ceci	1
200604	partimarijuana.org	fraserinstitute	2
200604	www.ccsd.ca	cprn	5
200604	www.gca.ca	economics	6
200604	wegovern.ca	cwf	1
200604	www.fairvotecanada.org	cwf	2
200604	www.ccsd.ca	caledoninst	4
200604	www.gca.ca	gpiatlantic	6
200604	www.ppforum.com	cwf	2
200604	www.davidsuzuki.org	policyalternatives	2
200604	www.ppforum.com	iog	2
200604	www.ccsd.ca	csls	2
200604	www.acp-cpa.ca	ligi	1
200604	www.web.net	ligi	1
200604	wegovern.ca	policyalternatives	2
200604	www.ccsd.ca	iog	1
200604	canadianactionparty.ca	ligi	1
200604	www.gov.sk.ca	ppforum	1
200604	www.canadiancrc.com	ligi	14
200604	coat.ncf.ca	ligi	3
200604	www.ccsd.ca	economics	1
200604	www.gca.ca	ciar	2
200604	www.ppforum.ca	ppforum	1
200604	www.canadiancrc.com	iog	3
200604	ppforum.ca	ppforum	1
200604	www.fraserinstitute.ca	fraserinstitute	3
200604	www.nosharia.com	ligi	1
200604	www.gca.ca	caledoninst	2
200604	www.afn.ca	aims	1
200604	www.ccsd.ca	policyalternatives	1
200604	www.fairvotecanada.org	irpp	18
200604	canadianactionparty.ca	csls	1
200604	canadianactionparty.ca	policyalternatives	2
200604	www.canadafirst.net	ciar	1
200604	www.canadiancrc.com	ceci	1
200604	www.canadafirst.net	iog	8
200604	www.canadians.org	caledoninst	25
200604	www.afn.ca	ciar	2
200604	www.policyalternatives.ca	iog	114
200604	www.policyalternatives.ca	economics	5
200604	www.ccsd.ca	gpiatlantic	1
200604	www.davidsuzuki.org	ciar	5
200604	www.libertarian.ca	fraserinstitute	2
200604	www.ppforum.com	clbc	2
200604	www.ccsd.ca	pearson-shoyama	2
200604	www.canadians.org	policyalternatives	411
200604	www.gca.ca	ligi	2
200604	www.ppforum.com	ppforum	1871
200604	www.ccsd.ca	conferenceboard	1
200604	www.ccsd.ca	cdhowe	1
200604	www.davidsuzuki.org	economics	2
200605	www.ccsd.ca	policyalternatives	1
200605	www.ccsd.ca	ceci	1
200605	www.canadafirst.net	ciar	1
200605	www.gca.ca	caledoninst	2
200605	www.ppforum.com	iog	2
200605	www.davidsuzuki.org	ciar	5
200605	www.fraserinstitute.ca	fraserinstitute	3
200605	www.ccsd.ca	csls	2
200605	www.gca.ca	ciar	2
200605	www.nosharia.com	ligi	1
200605	www.canadiancrc.com	iog	3
200605	www.ppforum.com	cwf	2
200605	www.ccsd.ca	gpiatlantic	1
200605	coat.ncf.ca	ligi	3
200605	www.canadiancrc.com	caledoninst	1
200605	www.canadafirst.net	iog	9
200605	www.ccsd.ca	economics	1
200605	www.canadiancrc.com	ceci	1
200605	canadianactionparty.ca	csls	1
200605	www.canadiancrc.com	ligi	14
200605	wegovern.ca	cwf	1
200605	www.web.net	ligi	1
200605	www.libertarian.ca	fraserinstitute	2
200605	wegovern.ca	policyalternatives	2
200605	www.ccsd.ca	iog	1
200605	www.davidsuzuki.org	policyalternatives	2
200605	canadianactionparty.ca	policyalternatives	2
200605	partimarijuana.org	fraserinstitute	2
200605	www.policyalternatives.org	policyalternatives	26
200605	canadianactionparty.ca	ligi	1
200605	www.ppforum.com	clbc	2
200605	www.ccsd.ca	cprn	5
200605	www.canadians.org	policyalternatives	326
200605	www.afn.ca	ciar	2
200605	www.gca.ca	economics	6
200605	www.policyalternatives.ca	policyalternatives	4841692
